"","2015","2016","2017","2018","2019","2020","2021"
"1",61873,55937,59890,66312,58462,60168,86983
"2",61261,55654,61108,67661,58506,60744,86909
"3",58737,55280,59434,64830,58373,59371,87228
"4",57390,55709,58184,62918,58031,59162,83455
"5",57393,54995,58530,61120,58285,58836,79399
"6",56516,55222,59155,61263,58661,59491,75455
"7",56481,55893,58583,59925,58115,58823,70173
"8",56028,54994,58376,57932,58132,58912,68269
"9",56221,56000,57366,56824,58072,59334,65617
"10",55374,56225,57591,57218,58678,59694,62400
"11",54370,54548,56782,56453,58034,58673,60586
"12",53335,54772,57157,55922,57214,59242,59140
"13",53140,53980,55822,55038,56773,63047,59600
"14",52784,54170,55262,55412,56710,72295,57518
"15",52951,53603,54967,55351,55625,79094,59571
"16",51702,53254,53164,54147,54600,76810,57821
"17",51581,51162,53398,53841,53783,73931,58907
"18",51746,51373,52750,53867,54129,69321,58365
"19",50771,51103,52074,52211,53600,66815,57360
"20",49440,50559,52571,50737,53676,64492,56816
"21",49816,50586,51097,51061,53833,61629,56981
"22",49132,49823,51360,51157,52856,59693,55506
"23",49845,50026,51522,52119,53292,58907,55647
"24",49222,49995,50915,51507,52790,58034,54984
"25",49169,49718,51313,51227,52419,58010,54604
"26",49341,49844,50737,50988,52324,58509,53363
"27",49019,49799,51085,51808,52498,59826,50584
"28",49337,49730,50124,51332,52070,61944,43903
"29",48655,49375,50222,50736,51812,63194,NA
"30",48673,49798,49487,50409,51800,64248,NA
"31",48279,49649,50204,50794,51542,64253,NA
"32",48069,49829,50353,51124,51854,63718,NA
"33",48547,49919,50290,50432,51120,63644,NA
"34",48631,49599,49662,50573,51148,62583,NA
"35",48817,49690,50952,50741,51288,61124,NA
"36",48885,50191,51100,50433,51963,60246,NA
"37",48935,50029,51815,51214,51751,59664,NA
"38",49326,49978,51348,51707,51906,59741,NA
"39",48919,50357,51463,51083,52869,60627,NA
"40",51051,51522,52229,52478,52679,59801,NA
"41",49936,52237,51710,51966,53220,61799,NA
"42",50758,51559,52349,53106,54437,60642,NA
"43",50471,51963,52664,53884,54151,62190,NA
"44",51282,51862,53814,53759,54209,63425,NA
"45",50744,52632,53376,53688,55800,67590,NA
"46",51489,53548,53901,54832,56044,68824,NA
"47",51292,53222,54221,54973,56326,71676,NA
"48",52088,54618,54909,55203,55592,73326,NA
"49",53645,55254,55736,56106,57416,77452,NA
"50",51948,56100,57544,56523,57789,82025,NA
"51",52882,56809,59669,56664,57575,82956,NA
"52",52633,57767,61245,56162,58630,84371,NA
