Age Group,Sex,Total Population
Under 1 year,Female,2016583
1-4 years,Female,8030910
5-14 years,Female,20064260
15-24 years,Female,21057902
25-34 years,Female,22947659
35-44 years,Female,21256845
45-54 years,Female,20650440
55-64 years,Female,22221321
65-74 years,Female,17608023
75-84 years,Female,9318438
85 years and over,Female,4294658
Under 1 year,Male,2112227
1-4 years,Male,8407948
5-14 years,Male,20944619
15-24 years,Male,22048975
25-34 years,Male,23942277
35-44 years,Male,21370925
45-54 years,Male,20191496
55-64 years,Male,20798044
65-74 years,Male,15467151
75-84 years,Male,7320885
85 years and over,Male,2431872
