Region,2015,2016,2017,2018,2019
Alabama,4852347,4863525,4874486,4887681,4903185
Alaska,737498,741456,739700,735139,731545
Arizona,6829676,6941072,7044008,7158024,7278717
Arkansas,2978048,2989918,3001345,3009733,3017804
California,38918045,39167117,39358497,39461588,39512223
Colorado,5450623,5539215,5611885,5691287,5758736
Connecticut,3587122,3578141,3573297,3571520,3565287
Delaware,941252,948921,956823,965479,973764
District of Columbia,675400,685815,694906,701547,705749
Florida,20209042,20613477,20963613,21244317,21477737
Georgia,10178447,10301890,10410330,10511131,10617423
Hawaii,1422052,1427559,1424393,1420593,1415872
Idaho,1651059,1682380,1717715,1750536,1787065
Illinois,12858913,12820527,12778828,12723071,12671821
Indiana,6608422,6634304,6658078,6695497,6732219
Iowa,3120960,3131371,3141550,3148618,3155070
Kansas,2909011,2910844,2908718,2911359,2913314
Kentucky,4425976,4438182,4452268,4461153,4467673
Louisiana,4664628,4678135,4670560,4659690,4648794
Maine,1328262,1331317,1334612,1339057,1344212
Maryland,5985562,6003323,6023868,6035802,6045680
Massachusetts,6794228,6823608,6859789,6882635,6892503
Michigan,9931715,9950571,9973114,9984072,9986857
Minnesota,5482032,5522744,5566230,5606249,5639632
Mississippi,2988471,2987938,2988510,2981020,2976149
Missouri,6071732,6087135,6106670,6121623,6137428
Montana,1030475,1040859,1052482,1060665,1068778
Nebraska,1891277,1905616,1915947,1925614,1934408
Nevada,2866939,2917563,2969905,3027341,3080156
New Hampshire,1336350,1342307,1348787,1353465,1359711
New Jersey,8867949,8870827,8885525,8886025,8882190
New Mexico,2089291,2091630,2091784,2092741,2096829
New York,19654666,19633428,19589572,19530351,19453561
North Carolina,10031646,10154788,10268233,10381615,10488084
North Dakota,754066,754434,754942,758080,762062
Ohio,11617527,11634370,11659650,11676341,11689100
Oklahoma,3909500,3926331,3931316,3940235,3956971
Oregon,4015792,4089976,4143625,4181886,4217737
Pennsylvania,12784826,12782275,12787641,12800922,12801989
Rhode Island,1056065,1056770,1055673,1058287,1059361
South Carolina,4891938,4957968,5021268,5084156,5148714
South Dakota,853988,862996,872868,878698,884659
Tennessee,6591170,6646010,6708799,6771631,6829174
Texas,27470056,27914410,28295273,28628666,28995881
Utah,2981835,3041868,3101042,3153550,3205958
Vermont,625216,623657,624344,624358,623989
Virginia,8361808,8410106,8463587,8501286,8535519
Washington,7163657,7294771,7423362,7523869,7614893
West Virginia,1842050,1831023,1817004,1804291,1792147
Wisconsin,5760940,5772628,5790186,5807406,5822434
Wyoming,585613,584215,578931,577601,578759
Puerto Rico,3473232,3406672,3325286,3193354,3193694
